param	n	pearson	p	sigma
Strain_DH51	589	-0.06517	0.8197	1.5822
Strain_EDL933	589	0.04655	0.9022	1.1289
Strain_MG1653
Strain_MG1652
Strain_MG1651
Strain_MG1650
Strain_MG1649
Strain_MG1648
Strain_MG1647
Strain_MG1646
Strain_MG1645
Strain_MG1644
Strain_MG1643
Strain_EHEC	589	0.177	0.001639	4.3569
Strain_O157_H7	589	0.1139	0.4179	2.7773
Strain_P4XB2	589	0.02817	0.9347	0.6829
Strain_P4X	589	0.03995	0.9173	0.9686
Strain_BW13711	589	-0.07771	0.694	1.8885
Strain_BW25113	589	0.3905	4.4e-21	10.2775
Strain_W3110	589	0.1611	0.008431	3.9543
Strain_EMG2	589	0.04582	0.9041	1.1114
Strain_MG1655	589	-0.3665	3.095e-18	9.5424
Medium_glucose_limited_minimal_media	589	-0.1522	0.01961	3.7306
Medium_TB	589	-0.05653	0.8677	1.3719
Medium_MOPS	589	0.01164	0.9461	0.2819
Medium_LB	589	0.06165	0.8419	1.4965
Medium_LB_HOMOPIPES	589	0.2439	2.528e-07	6.0928
Medium_M9_MOPS	589	-0.002922	0.9481	0.0708
Medium_M9	589	-0.04256	0.9119	1.0321
Treatment_value	589	-0.02408	0.9386	0.5836
Treatment_conditions
Treatment_H2O2	589	-0.03233	0.9297	0.7838
Treatment_magnetic_powerline_intermittent	589	-0.05629	0.8687	1.3660
Treatment_magnetic_sinusoidal_intermittent	589	-0.04584	0.9041	1.1118
Treatment_magnetic_sinusoidal_continuous
Treatment_azlocillin
Treatment_nalidixic
Treatment_5_fluorouracil
Treatment_Cm
Treatment_IPTG	589	-0.0157	0.9443	0.3805
Treatment_indole	589	-0.01044	0.9465	0.2530
Treatment_temperature	589	0.1948	0.0002148	4.8115
Treatment_isatin
Treatment_hydroxyindole
Treatment_norepinephrine
Treatment_epinephrine
Treatment_DMF	589	0.3341	8.371e-15	8.5889
Treatment_arginine	589	0.03995	0.9173	0.9686
Treatment_L_methionine	589	0.04905	0.8951	1.1898
Treatment_glucose	589	-0.04031	0.9166	0.9774
Treatment_glycerol	589	-0.07158	0.7665	1.7386
Treatment_lactate	589	-0.02404	0.9387	0.5826
Treatment_tannin_extract
Treatment_Na2S_9H2O	589	-0.07771	0.694	1.8885
Treatment_L_cysteine_HCl	589	-0.07771	0.694	1.8885
Treatment_biofilm	589	0.3554	5.212e-17	9.2111
Treatment_pH	589	0.2394	5.037e-07	5.9736
Treatment_KCl	589	0.2439	2.528e-07	6.0928
Treatment_succinate
Treatment_gly
Treatment_anaerobic	589	0.1046	0.7625	2.5493
Treatment_aerobic	589	0.09938	0.04673	2.4198
nhaR	589	-0.0009709	0.9482	0.0235
caiF	589	-0.07527	0.726	1.8289
araC	589	0.2114	2.657e-05	5.2400
sgrR	589	0.315	5.652e-13	8.0421
leuO	589	0.2706	3.07e-09	6.8099
cra	589	0.0992	0.05678	2.4154
pdhR	589	-0.2701	3.351e-09	6.7963
sfsA	589	0.1242	0.2001	3.0336
cdaR	589	-0.2434	2.722e-07	6.0801
yafC	589	-0.3343	8.045e-15	8.5939
dinJ	589	-0.03909	0.919	0.9477
crl	589	0.2139	1.91e-05	5.3046
perR	589	-0.2933	4.63e-11	7.4335
yagA	589	0.1081	0.6132	2.6342
yagI	589	0.2463	1.725e-07	6.1579
yagP	589	-0.1419	0.04896	3.4723
ecpR	589	-0.1644	0.006074	4.0380
ykgA	589	-0.3139	7.187e-13	8.0100
ykgD	589	-0.02764	0.9352	0.6700
betI	589	0.3051	4.454e-12	7.7622
yahB	589	-0.1325	0.1061	3.2384
yahD	589	0.3019	8.535e-12	7.6721
prpR	589	0.3623	9.059e-18	9.4175
cynR	589	0.2933	4.615e-11	7.4339
lacI	589	-0.0936	0.3154	2.2777
mhpR	589	0.1998	0.0001171	4.9395
frmR	589	-0.1965	0.0001741	4.8562
yaiV	589	-0.195	0.0002083	4.8181
yaiW	589	-0.3529	9.567e-17	9.1386
phoB	589	0.3198	2.023e-13	8.1784
nrdR	589	0.2182	1.063e-05	5.4176
bolA	589	0.01468	0.9449	0.3556
hupB	589	0.2983	1.745e-11	7.5720
ybaO	589	0.03411	0.9272	0.8270
acrR	589	-0.274	1.691e-09	6.9016
ybaQ	589	-0.01244	0.9458	0.3015
cueR	589	-0.2288	2.402e-06	5.6952
ylbG	589	-0.3255	5.794e-14	8.3416
allS	589	-0.2457	1.894e-07	6.1421
allR	589	-0.0409	0.9154	0.9917
fimZ	589	-0.3436	9.091e-16	8.8654
appY	589	-0.3729	5.703e-19	9.7363
envY	589	-0.3629	7.699e-18	9.4365
cusR	589	-0.309	1.995e-12	7.8721
ybdO	589	-0.3519	1.244e-16	9.1071
dpiA	589	-0.3129	8.817e-13	7.9826
cspE	589	-0.1603	0.009132	3.9337
ybeF	589	-0.3143	6.612e-13	8.0212
nagC	589	-0.24	4.584e-07	5.9901
fur	589	-0.02778	0.9351	0.6733
kdpE	589	0.2171	1.237e-05	5.3887
abrB	589	0.0455	0.9049	1.1036
mngR	589	-0.1451	0.03692	3.5540
modE	589	0.3401	2.114e-15	8.7612
ybhD	589	-0.2492	1.098e-07	6.2342
ybhN	589	-0.1685	0.004018	4.1412
ybiH	589	-0.2238	4.912e-06	5.5633
mntR	589	0.3339	8.756e-15	8.5832
deoR	589	0.02871	0.9341	0.6959
ybjK	589	-0.08261	0.6141	2.0083
lrp	589	0.07388	0.7422	1.7950
ycaN	589	-0.3599	1.672e-17	9.3456
ihfB	589	0.06104	0.8453	1.4816
torR	589	-0.2505	8.951e-08	6.2683
rutR	589	0.05591	0.8704	1.3566
csgD	589	-0.2378	6.437e-07	5.9307
flgM	589	0.06983	0.7829	1.6959
ycfQ	589	-0.09001	0.4369	2.1896
phoP	589	0.2062	5.203e-05	5.1059
ymfT	589	0.2326	1.389e-06	5.7942
ymfL	589	0.1461	0.03404	3.5771
ymfN	589	0.2712	2.742e-09	6.8273
bluR	589	-0.1013	0.9336	2.4679
fadR	589	0.06763	0.8014	1.6424
dhaR	589	-0.3227	1.076e-13	8.2611
ychQ	589	0.2264	3.389e-06	5.6321
ychA	589	0.05602	0.8699	1.3594
narL	589	-0.02742	0.9355	0.6647
hns	589	0.2528	6.172e-08	6.3301
cysB	589	0.1653	0.005576	4.0596
